first_name,last_name,middle_name,suffix,date_of_birth,gender,registration_id,address,city,state,zip,district_id
Ryker,Bridges,,,2/26/1994,M,9912895,203 3rd Street North,Mesa,CT,29889,OH12
Angelina,Aguirre,,,5/6/1957,F,3171350,3749 Lake Avenue,San Rafael,WI,39985,CA10
Giovanny,Holder,,,8/12/1955,M,8155670,6245 Orchard Street,Sacramento,NC,38931,MN02
Josiah,Benson,,,4/14/1945,M,7430874,3048 1st Street,Sanford,OR,71627,TX23
Lilah,Ritter,D,,4/2/1927,F,4853439,6292 Morris Street,Gilroy,AR,31857,FL27
Maddison,Jordan,,,1/23/1962,F,2468915,5059 Route 29,Sumter,OH,16602,OH12
Paulina,Carter,B,,11/26/1959,F,6279233,6693 Garfield Avenue,Woburn,UT,23583,GA06
Brian,Kelley,,,7/24/1984,M,7008022,7138 Poplar Street,Roy,RI,74538,MN02
Darian,Marsh,,,12/21/1987,M,7779294,9461 Hilltop Road,Huntsville,CO,31095,CA10
Guillermo,Sweeney,,S,8/3/1976,M,7330274,3150 Primrose Lane,Montclair,AR,48041,AZ02
Alisa,Flores,,,6/16/1950,F,6835998,6834 Roberts Road,Manhattan,MT,36386,CA10
Ashlee,Moody,,,8/1/1970,F,6448928,6624 Pine Street,Hartford,KY,30868,AZ02
Rayan,Kramer,,,7/12/1931,M,3302986,5366 3rd Street North,Wheeling,WA,29157,MN02
Haylie,Burton,,,6/23/1960,F,7534278,2347 Canterbury Court,Decatur,ME,82650,TX23
Halle,Trevino,,,3/18/1923,F,2100785,2177 Amherst Street,La Quinta,MT,26899,AZ02
Ryker,Dunlap,H,,10/6/1975,M,9095408,7922 State Street East,Tinley Park,TX,27658,MN02
Paityn,Norris,,,7/20/1932,F,3330181,526 3rd Street North,Attleboro,NH,41438,CA10
London,Holder,,,4/9/1984,F,7197840,1199 Hanover Court,Commerce City,CT,56346,CA10
Ean,Cain,,,1/27/1967,M,3898279,8686 Laurel Drive,Portland,SD,74676,GA06
Kylee,Benson,,,1/25/1938,F,9744148,1120 Union Street,Iowa City,DE,96917,GA06
Sanai,Salazar,,,6/30/1972,F,8358620,5000 White Street,East Lansing,WV,22071,GA06
Paulina,Barajas,,,10/30/1922,F,7560416,8299 Central Avenue,Lansing,MT,49828,MN02
Connor,Stark,,,9/26/1975,M,8741967,3216 14th Street,North Las Vegas,OK,10430,TX23
Margaret,Bridges,P,,4/16/1943,F,4716015,7669 Clay Street,Leominster,NV,81009,FL27
Jerimiah,Holder,,,10/12/1996,M,5698254,5426 Atlantic Avenue,Roseville,DE,46809,OH12
Jamarcus,Trevino,W,,3/11/1971,M,1157467,8687 3rd Street East,Broomfield,KS,59619,CA10
Ricardo,Wang,,,12/14/1946,M,1282942,5563 Canterbury Road,Lewisville,KY,27655,CA10
Preston,Mathis,S,,4/14/1987,M,9359255,8942 Laurel Drive,Tyler,AL,83408,GA06
Alexandria,Cohen,,,6/2/1967,F,1202433,4022 Charles Street,Aventura,CT,41981,TX23
Brisa,Chan,,,11/15/1942,F,8285242,4574 Main Street East,Canton,TX,49157,TX23
Zara,Vance,,,4/27/1955,F,7283424,3931 Orchard Lane,Westminster,IN,99056,FL27
Jason,Archer,,,7/25/1952,M,2513943,5655 Oak Lane,Palo Alto,SC,67305,FL27
Bradyn,Braun,E,,8/30/1999,M,2349979,1626 Route 2,Suffolk,OH,80104,PA10
Maddison,Kirby,,Jr,7/14/2000,F,8909220,6568 Route 30,Mount Pleasant,WI,68647,MN02
April,Gilmore,G,,12/7/1926,F,2579854,8191 5th Street,Pine Bluff,CA,84620,FL27
Ali,Harding,,,11/20/1928,F,7715012,590 Forest Avenue,Plainfield,MO,67002,CA10
Ally,Klein,,,6/13/1969,F,7767997,5361 5th Street,Tampa,OR,35242,MN02
