first_name,last_name,middle_name,suffix,date_of_birth,gender,registration_id,address,city,state,zip,district_id
Ryker,Bridges,,,34391,M,9912895,203 3rd Street North,Mesa,CT,29889,OH12
Angelina,Aguirre,,,20946,F,3171350,3749 Lake Avenue,San Rafael,WI,39985,CA10
Giovanny,Holder,,,20313,M,8155670,6245 Orchard Street,Sacramento,NC,38931,MN02
Josiah,Benson,,,16541,M,7430874,3048 1st Street,Sanford,OR,71627,TX23
Lilah,Ritter,D,,9954,F,4853439,6292 Morris Street,Gilroy,AR,31857,FL27
Maddison,Jordan,,,22669,F,2468915,5059 Route 29,Sumter,OH,16602,OH12
Paulina,Carter,B,,21880,F,6279233,6693 Garfield Avenue,Woburn,UT,23583,GA06
Brian,Kelley,,,30887,M,7008022,7138 Poplar Street,Roy,RI,74538,MN02
Darian,Marsh,,,32132,M,7779294,9461 Hilltop Road,Huntsville,CO,31095,CA10
Guillermo,Sweeney,,S,27975,M,7330274,3150 Primrose Lane,Montclair,AR,48041,AZ02
Alisa,Flores,,,18430,F,6835998,6834 Roberts Road,Manhattan,MT,36386,CA10
Ashlee,Moody,,,25781,F,6448928,6624 Pine Street,Hartford,KY,30868,AZ02
Rayan,Kramer,,,11516,M,3302986,5366 3rd Street North,Wheeling,WA,29157,MN02
Haylie,Burton,,,22090,F,7534278,2347 Canterbury Court,Decatur,ME,82650,TX23
Halle,Trevino,,,8478,F,2100785,2177 Amherst Street,La Quinta,MT,26899,AZ02
Ryker,Dunlap,H,,27673,M,9095408,7922 State Street East,Tinley Park,TX,27658,MN02
Paityn,Norris,,,11890,F,3330181,526 3rd Street North,Attleboro,NH,41438,CA10
London,Holder,,,30781,F,7197840,1199 Hanover Court,Commerce City,CT,56346,CA10
Ean,Cain,,,24499,M,3898279,8686 Laurel Drive,Portland,SD,74676,GA06
Kylee,Benson,,,13905,F,9744148,1120 Union Street,Iowa City,DE,96917,GA06
Sanai,Salazar,,,26480,F,8358620,5000 White Street,East Lansing,WV,22071,GA06
Paulina,Barajas,,,8339,F,7560416,8299 Central Avenue,Lansing,MT,49828,MN02
Connor,Stark,,,27663,M,8741967,3216 14th Street,North Las Vegas,OK,10430,TX23
Margaret,Bridges,P,,15812,F,4716015,7669 Clay Street,Leominster,NV,81009,FL27
Jerimiah,Holder,,,35350,M,5698254,5426 Atlantic Avenue,Roseville,DE,46809,OH12
Jamarcus,Trevino,W,,26003,M,1157467,8687 3rd Street East,Broomfield,KS,59619,CA10
Ricardo,Wang,,,17150,M,1282942,5563 Canterbury Road,Lewisville,KY,27655,CA10
Preston,Mathis,S,,31881,M,9359255,8942 Laurel Drive,Tyler,AL,83408,GA06
Alexandria,Cohen,,,24625,F,1202433,4022 Charles Street,Aventura,CT,41981,TX23
Brisa,Chan,,,15660,F,8285242,4574 Main Street East,Canton,TX,49157,TX23
Zara,Vance,,,20206,F,7283424,3931 Orchard Lane,Westminster,IN,99056,FL27
Jason,Archer,,,19200,M,2513943,5655 Oak Lane,Palo Alto,SC,67305,FL27
Bradyn,Braun,E,,36402,M,2349979,1626 Route 2,Suffolk,OH,80104,PA10
Maddison,Kirby,,Jr,36721,F,8909220,6568 Route 30,Mount Pleasant,WI,68647,MN02
April,Gilmore,G,,9838,F,2579854,8191 5th Street,Pine Bluff,CA,84620,FL27
Ali,Harding,,,10552,F,7715012,590 Forest Avenue,Plainfield,MO,67002,CA10
Ally,Klein,,,25367,F,7767997,5361 5th Street,Tampa,OR,35242,MN02
Maya,Mclaughlin,,,27207,F,3418571,4130 Canterbury Road,Providence,MO,74878,GA06
Kylee,Drake,,,35438,F,8750385,7726 William Street,Cupertino,AL,10657,MN02
Lorelai,Mclaughlin,,,16559,F,1161218,9590 Orchard Lane,San Francisco,MI,69583,FL27
Kayleigh,Benitez,,,13174,F,6535268,4013 Route 2,Keller,UT,23690,FL27
Rylan,Bentley,O,,17296,M,5878958,6476 Hillside Drive,Carson City,NV,94721,FL27
Meghan,Irwin,R,,24685,F,6451628,3237 Linden Street,Janesville,IA,21653,AZ02
Ezekiel,Gilmore,,,19100,M,4727376,8277 Linden Street,Hallandale Beach,AL,86795,TX23
Lucian,Hurley,,,16978,M,1856055,6714 3rd Street North,Loveland,IN,18081,FL27
Aniyah,Stark,,,27487,F,9686040,7613 Linden Street,Westerville,DE,48521,CA10
Chris,Randolph,,,9747,M,1639492,4322 Amherst Street,Castle Rock,AR,69273,FL27
Maci,Bolton,,,16746,F,4547215,4478 Morris Street,Los Angeles,MI,59619,AZ02
Conner,Weber,,,15472,M,3944188,2998 North Street,Sandy Springs,GA,15493,OH12
Juliet,Wells,,,15555,F,3772016,1747 Atlantic Avenue,Lake Havasu City,AL,12085,OH12
Nadia,Irwin,,V,12976,F,6138961,7168 College Street,Idaho Falls,MD,55343,AZ02
Gloria,Cunningham,,Sr,14566,F,3944191,8787 Clark Street,Waco,VA,70488,CA10
Paulina,Ferguson,J,,21098,F,2207245,4844 New Street,East Orange,AK,92639,GA06
